dimension_id,dimension,signalling_question,low_concern,high_concern
D1,Experimental transparency,"Are preprocessing, hyperparameters, training schedule, and feature extractor described in sufficient detail to permit reimplementation?",All four described; code or configuration released,Backbone or training schedule unstated; no code
D2,Dataset and split integrity,"Are train/validation/test separation, leakage controls, and annotation assumptions stated and defensible?",Standard split used and named; leakage controls stated,"Split undocumented, self-defined without release, or test data used for model selection"
D3,Metric validity,"Do metric granularity and implementation match the task, and is threshold or operating-point selection disclosed?",Metric matches task; thresholds and aggregation stated,Frame-level metric reported for an event-level claim; threshold selected on test data
D4,Comparison fairness,"Are supervision regime, backbone, pretraining source, modality, and evaluation code comparable to the baselines, or explicitly qualified where they are not?","Baselines rerun under a common implementation, or differences stated",Headline gain confounded with backbone or pretraining change presented as a paradigm result
D5,External validity,"Is there evidence beyond a single in-distribution test split—cross-scene or cross-dataset testing, robustness analysis, released weights, or deployment measurement?",Cross-dataset or cross-camera evaluation reported,"Single dataset, single split, no robustness or deployment evidence"
