citation_key,entry_type,year,author,title,journal,booktitle,volume,number,pages,publisher,doi,url,role_in_review,verification_status
arnab2021vivit,inproceedings,2021,"Arnab, Anurag and Dehghani, Mostafa and Heigold, Georg and Sun, Chen and Lucic, Mario and Schmid, Cordelia",ViViT: A video vision transformer,,IEEE/CVF International Conference on Computer Vision,,,6836--6846,,10.1109/ICCV48922.2021.00676,,primary_or_comparative_study,transcribed_from_manuscript
vaswani2017attention,inproceedings,2017,"Vaswani, Ashish and Shazeer, Noam and Parmar, Niki and Uszkoreit, Jakob and Jones, Llion and Gomez, Aidan N and Kaiser, {\L}ukasz and Polosukhin, Illia",Attention is all you need,,Advances in Neural Information Processing Systems,,,5998--6008,,,,primary_or_comparative_study,transcribed_from_manuscript
chen2024internvl,inproceedings,2024,"Chen, Zhe and Wu, Jiannan and Wang, Wenhai and Su, Weijie and Chen, Guo and Xing, Sen and Zhong, Muyan and Zhang, Qinglong and Zhu, Xizhou and Lu, Lewei and Li, Bin and Luo, Ping and Lu, Tong and Qiao, Yu and Dai, Jifeng",{InternVL}: Scaling up vision foundation models and aligning for generic visual-linguistic tasks,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,24185--24198,,,,primary_or_comparative_study,transcribed_from_manuscript
zhang2023video,article,2023,"Zhang, Hang and Li, Xin and Bing, Lidong",Video-LLaMA: An instruction-tuned audio-visual language model for video understanding,arXiv preprint arXiv:2306.02858,,,,,,,,primary_or_comparative_study,transcribed_from_manuscript
tran2015learning,inproceedings,2015,"Tran, Du and Bourdev, Lubomir and Fergus, Rob and Torresani, Lorenzo and Paluri, Manohar",Learning spatiotemporal features with 3D convolutional networks,,IEEE International Conference on Computer Vision,,,4489--4497,,10.1109/ICCV.2015.510,,primary_or_comparative_study,transcribed_from_manuscript
liu2022video,inproceedings,2022,"Liu, Ze and Ning, Jia and Cao, Yue and Wei, Yixuan and Zhang, Zheng and Lin, Stephen and Hu, Han",Video Swin Transformer,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,3202--3211,,10.1109/CVPR52688.2022.00320,,primary_or_comparative_study,transcribed_from_manuscript
tian2021weakly,inproceedings,2021,"Tian, Yu and Pang, Guansong and Chen, Yuanhong and Singh, Rajvinder and Verjans, Johan W and Carneiro, Gustavo",Weakly-supervised video anomaly detection with robust temporal feature magnitude learning,,IEEE/CVF International Conference on Computer Vision,,,4975--4986,,10.1109/ICCV48922.2021.00493,,primary_or_comparative_study,transcribed_from_manuscript
park2020learning,inproceedings,2020,"Park, Hyunjong and Noh, Jongyoun and Ham, Bumsub",Learning memory-guided normality for anomaly detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,14372--14381,,10.1109/CVPR42600.2020.01438,,primary_or_comparative_study,transcribed_from_manuscript
santhosh2020traffic,article,2020,"Santhosh, Kelathodi Kumaran and Dogra, Debi Prosad and Roy, Partha Pratim",Anomaly detection in road traffic using visual surveillance: A survey,ACM Computing Surveys,,53,6,1--26,ACM,10.1145/3417989,,positioning_review,transcribed_from_manuscript
rezaee2021crowd_realtime,article,2024,"Rezaee, Khosro and Rezakhani, Seyed Mohammad and Khosravi, Mohammad R and Moghimi, Mohammad Kazem",A survey on deep learning-based real-time crowd anomaly detection for secure distributed video surveillance,Personal and Ubiquitous Computing,,28,1,135--151,Springer,10.1007/s00779-021-01586-5,,positioning_review,transcribed_from_manuscript
sharif2022deep_crowd,article,2022,"Sharif, Md Haidar and Jiao, Lei and Omlin, Christian W","Deep crowd anomaly detection: State-of-the-art, challenges, and future research directions",arXiv preprint arXiv:2210.13927,,,,,,,,positioning_review,transcribed_from_manuscript
wang2022deep_fire,article,2024,"Cheng, Guangtao and Chen, Xue and Wang, Chenyi and Li, Xiaobo and Xian, Baoyi and Yu, Hao",Visual fire detection using deep learning: A survey,Neurocomputing,,596,,127975,Elsevier,10.1016/j.neucom.2024.127975,,positioning_review,transcribed_from_manuscript
tran2024anomaly_images_videos,article,2022,"Tran, Tung Minh and Vu, Tu N. and Vo, Nguyen D. and Nguyen, Tam V. and Nguyen, Khang",Anomaly analysis in images and videos: A comprehensive review,ACM Computing Surveys,,55,7,1--37,ACM,10.1145/3544014,,positioning_review,transcribed_from_manuscript
wu2024deep_review,article,2026,"Wu, Peng and Pan, Chengyu and Yan, Yuting and Pang, Guansong and Yan, Qingsen and Wang, Peng and Zhang, Yanning",Deep learning for video anomaly detection: A review,IEEE Transactions on Neural Networks and Learning Systems,,37,7,3010--3030,,10.1109/TNNLS.2025.3647892,,positioning_review,transcribed_from_manuscript
saleh2024forest_fire,article,2024,"Saleh, Azlan and Zulkifley, Mohd Asyraf and Harun, Hazimah Haspi and Gaudreault, Francis and Davison, Ian and Spraggon, Martin",Forest fire surveillance systems: A review of deep learning methods,Heliyon,,10,1,e23127,Elsevier,10.1016/j.heliyon.2023.e23127,,positioning_review,transcribed_from_manuscript
ren2025foundation_anomaly,article,2025,"Ren, Jing and Tang, Tao and Jia, Hong and Xu, Ziqi and Fayek, Haytham and Li, Xiaodong and Ma, Suyu and Xu, Xiwei and Xia, Feng",Foundation models for anomaly detection: Vision and challenges,AI Magazine,,46,4,e70045,Wiley,10.1002/aaai.70045,,primary_or_comparative_study,transcribed_from_manuscript
benammar2025foundation_transformer,article,2025,"Ben Ammar, Mou{\""\i}n and Mendoza, Arturo and Belkhir, Nacim and Manzanera, Antoine and Franchi, Gianni",Foundation models and transformers for anomaly detection: A survey,Information Fusion,,126,,103517,Elsevier,10.1016/j.inffus.2025.103517,,positioning_review,transcribed_from_manuscript
song2024networking_vad,article,2025,"Liu, Jing and Liu, Yang and Lin, Jieyu and Li, Jielin and Cao, Liang and Sun, Peng and Hu, Bo and Song, Liang and Boukerche, Azzedine and Leung, Victor C. M.",Networking systems for video anomaly detection: A tutorial and survey,ACM Computing Surveys,,57,10,1--37,ACM,10.1145/3729222,,positioning_review,transcribed_from_manuscript
noghre2025survey_human_vehicle,article,2025,"{Alinezhad Noghre}, Ghazal and {Danesh Pazho}, Armin and Tabkhi, Hamed","A survey on video anomaly detection via deep learning: Human, vehicle, and environment",arXiv preprint arXiv:2508.14203,,,,,,10.48550/arXiv.2508.14203,,positioning_review,transcribed_from_manuscript
gaur2025early_fire_smoke,article,2025,"Elhanashi, Abdussalam and Essahraui, Siham and Dini, Pierpaolo and Saponara, Sergio","Early fire and smoke detection using deep learning: A comprehensive review of models, datasets, and challenges",Applied Sciences,,15,18,10255,MDPI,10.3390/app151810255,,dataset_or_benchmark,transcribed_from_manuscript
hasan2016learning,inproceedings,2016,"Hasan, Mahmudul and Choi, Jonghyun and Neumann, Jan and Roy-Chowdhury, Amit K and Davis, Larry S",Learning temporal regularity in video sequences,,IEEE Conference on Computer Vision and Pattern Recognition,,,733--742,,10.1109/CVPR.2016.86,,primary_or_comparative_study,transcribed_from_manuscript
chong2017abnormal,inproceedings,2017,"Chong, Yong Shean and Tay, Yong Haur",Abnormal event detection in videos using spatiotemporal autoencoder,,International Symposium on Neural Networks,,,189--196,,10.1007/978-3-319-59081-3_23,,primary_or_comparative_study,transcribed_from_manuscript
luo2017remembering,inproceedings,2017,"Luo, Weixin and Liu, Wen and Gao, Shenghua",Remembering history with convolutional LSTM for anomaly detection,,IEEE International Conference on Multimedia and Expo,,,439--444,,10.1109/ICME.2017.8019325,,primary_or_comparative_study,transcribed_from_manuscript
ravanbakhsh2017abnormal,inproceedings,2017,"Ravanbakhsh, Mahdyar and Nabi, Moin and Sangineto, Enver and Marcenaro, Lucio and Regazzoni, Carlo and Sebe, Nicu",Abnormal event detection in videos using generative adversarial nets,,IEEE International Conference on Image Processing,,,1577--1581,,10.1109/ICIP.2017.8296547,,primary_or_comparative_study,transcribed_from_manuscript
sabokrou2018adversarially,inproceedings,2018,"Sabokrou, Mohammad and Khalooei, Mohammad and Fathy, Mahmood and Adeli, Ehsan",Adversarially learned one-class classifier for novelty detection,,IEEE Conference on Computer Vision and Pattern Recognition,,,3379--3388,,10.1109/CVPR.2018.00356,,primary_or_comparative_study,transcribed_from_manuscript
lu2020few,inproceedings,2020,"Lu, Yiwei and Yu, Frank and Reddy, Mahesh Kumar Krishna and Wang, Yang",Few-shot scene-adaptive anomaly detection,,European Conference on Computer Vision,,,125--141,,10.1007/978-3-030-58558-7_8,,primary_or_comparative_study,transcribed_from_manuscript
ye2019anopcn,inproceedings,2019,"Ye, Muchao and Peng, Xiaojiang and Gan, Weihao and Wu, Wei and Qiao, Yu",{AnoPCN}: Video anomaly detection via deep predictive coding network,,ACM International Conference on Multimedia,,,1805--1813,,10.1145/3343031.3350899,,primary_or_comparative_study,transcribed_from_manuscript
wyatt2022anoddpm,inproceedings,2022,"Wyatt, Julian and Leach, Adam and Sherborne, Sebastian M and Breckon, Toby P",AnoDDPM: Anomaly detection with denoising diffusion probabilistic models using simplex noise,,IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops,,,650--656,,10.1109/CVPRW56347.2022.00080,,primary_or_comparative_study,transcribed_from_manuscript
yan2023feature,inproceedings,2023,"Yan, Cheng and Zhang, Shiyu and Liu, Yang and Pang, Guansong and Wang, Wei",Feature prediction diffusion model for video anomaly detection,,IEEE/CVF International Conference on Computer Vision,,,5527--5537,,10.1109/ICCV51070.2023.00509,,primary_or_comparative_study,transcribed_from_manuscript
morais2019learning,inproceedings,2019,"Morais, Romero and Le, Vuong and Tran, Truyen and Saha, Budhaditya and Mansour, Moussa Reda and Venkatesh, Svetha",Learning regularity in skeleton trajectories for in-the-wild action detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,11804--11813,,10.1109/CVPR.2019.01227,,primary_or_comparative_study,transcribed_from_manuscript
lee2019bman,article,2020,"Lee, Sangmin and Kim, Hak Gu and Ro, Yong Man",BMAN: Bidirectional multi-scale aggregation networks for abnormal event detection,IEEE Transactions on Image Processing,,29,,2395--2408,,10.1109/TIP.2019.2948286,,primary_or_comparative_study,transcribed_from_manuscript
chang2022video,article,2022,"Chang, Yunpeng and Tu, Zhigang and Xie, Wei and Luo, Bin and Zhang, Shifu and Sui, Haiyan and Yuan, Junsong",Video anomaly detection with spatio-temporal dissociation,Pattern Recognition,,122,,108213,,10.1016/j.patcog.2021.108213,,primary_or_comparative_study,transcribed_from_manuscript
nguyen2019anomaly,inproceedings,2019,"Nguyen, Trong-Nguyen and Meunier, Jean",Anomaly detection in video sequence with appearance-motion correspondence,,IEEE/CVF International Conference on Computer Vision,,,1273--1283,,10.1109/ICCV.2019.00136,,primary_or_comparative_study,transcribed_from_manuscript
liu2021hybrid,inproceedings,2021,"Liu, Zhian and Nie, Yongwei and Long, Chengjiang and Zhang, Qing and Li, Guiqing",A hybrid video anomaly detection framework via memory-augmented flow reconstruction and flow-guided frame prediction,,IEEE/CVF International Conference on Computer Vision,,,13588--13597,,10.1109/ICCV48922.2021.01333,,primary_or_comparative_study,transcribed_from_manuscript
yuan2021transanomaly,article,2021,"Yuan, Haoshen and Cai, Zhenyu and Zhou, Hui and Wang, Yue and Chen, Xiangzhi",TransAnomaly: Video anomaly detection using video vision transformer,IEEE Access,,9,,123977--123986,,10.1109/ACCESS.2021.3109102,,primary_or_comparative_study,transcribed_from_manuscript
chen2023mgfn,inproceedings,2023,"Chen, Yingxian and Liu, Zhengzhe and Zhang, Baolin and Fok, Wai and Qi, Xiaojuan and Wu, Yik-Chung",MGFN: Magnitude-contrastive glance-and-focus network for weakly-supervised video anomaly detection,,AAAI Conference on Artificial Intelligence,,,,,10.1609/aaai.v37i1.25112,,primary_or_comparative_study,transcribed_from_manuscript
zhong2019graph,inproceedings,2019,"Zhong, Jia-Xing and Li, Nannan and Kong, Weijie and Liu, Shan and Li, Thomas H and Li, Ge",Graph convolutional label noise cleaner: Train a plug-and-play action classifier for anomaly detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,1237--1246,,10.1109/CVPR.2019.00133,,primary_or_comparative_study,transcribed_from_manuscript
feng2021mist,inproceedings,2021,"Feng, Jia-Chang and Hong, Fa-Ting and Zheng, Wei-Shi",MIST: Multiple instance self-training framework for video anomaly detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,14009--14018,,10.1109/CVPR46437.2021.01379,,primary_or_comparative_study,transcribed_from_manuscript
wu2020not,inproceedings,2020,"Wu, Peng and Liu, Jing and Shi, Yujia and Sun, Yujia and Shao, Fangtao and Wu, Zhaoyang and Yang, Zhiwei","Not only look, but also listen: Learning multimodal violence detection under weak supervision",,European Conference on Computer Vision,,,322--339,,10.1007/978-3-030-58577-8_20,,primary_or_comparative_study,transcribed_from_manuscript
wu2022self,article,2024,"Huang, Chao and Liu, Chengliang and Zhang, Zheng and Wu, Zhihao and Wen, Jie and Jiang, Qiuping and Xu, Yong",Weakly supervised video anomaly detection via self-guided temporal discriminative transformer,IEEE Transactions on Cybernetics,,54,5,3197--3210,,10.1109/TCYB.2022.3227044,,primary_or_comparative_study,transcribed_from_manuscript
li2022self,article,2022,"Li, Shuo and Liu, Fang and Jiao, Licheng",Self-training multi-sequence learning with transformer for weakly supervised video anomaly detection,Proceedings of the AAAI Conference on Artificial Intelligence,,36,2,1395--1403,,10.1609/aaai.v36i2.20028,,primary_or_comparative_study,transcribed_from_manuscript
zhou2023dmu,article,2023,"Zhou, Hang and Yu, Junqing and Yang, Wei",Dual Memory Units with Uncertainty Regulation for Weakly Supervised Video Anomaly Detection,Proceedings of the AAAI Conference on Artificial Intelligence,,37,3,3769--3777,,10.1609/aaai.v37i3.25489,https://doi.org/10.1609/aaai.v37i3.25489,primary_or_comparative_study,transcribed_from_manuscript
zhang2024pel4vad,article,2024,"Pu, Yujiang and Wu, Xiaoyu and Yang, Lulu and Wang, Shengjin",Learning prompt-enhanced context features for weakly-supervised video anomaly detection,IEEE Transactions on Image Processing,,33,,4923--4936,,10.1109/TIP.2024.3451935,https://doi.org/10.1109/TIP.2024.3451935,primary_or_comparative_study,transcribed_from_manuscript
georgescu2021anomaly,inproceedings,2021,"Georgescu, Mariana-Iuliana and Barbalau, Antonio and Ionescu, Radu Tudor and Khan, Fahad Shahbaz and Popescu, Marius and Shah, Mubarak",Anomaly detection in video via self-supervised and multi-task learning,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,12742--12752,,10.1109/CVPR46437.2021.01255,,primary_or_comparative_study,transcribed_from_manuscript
wang2022video_jigsaw,inproceedings,2022,"Wang, Guodong and Wang, Yunhong and Qin, Jie and Zhang, Dongming and Bao, Xiuguo and Huang, Di",Video anomaly detection by solving decoupled spatio-temporal jigsaw puzzles,,Computer Vision -- ECCV 2022,,,,Springer,10.1007/978-3-031-20080-9_29,,primary_or_comparative_study,transcribed_from_manuscript
cho2023look,inproceedings,2023,"Cho, MyeongAh and Kim, Minjung and Hwang, Sangwon and Park, Chaewon and Lee, Kyungjae and Lee, Sangyoun",Look around for anomalies: Weakly-supervised anomaly detection via context-motion relational learning,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,12137--12146,,10.1109/CVPR52729.2023.01168,,primary_or_comparative_study,transcribed_from_manuscript
barbalau2023ssmtl,article,2023,"Barbalau, Antonio and Ionescu, Radu Tudor and Georgescu, Mariana-Iuliana and Dueholm, Jacob and Ramachandra, Bharathkumar and Nasrollahi, Kamal and Khan, Fahad Shahbaz and Moeslund, Thomas B. and Shah, Mubarak",SSMTL++: Revisiting self-supervised multi-task learning for video anomaly detection,Computer Vision and Image Understanding,,229,,103656,,10.1016/j.cviu.2023.103656,,primary_or_comparative_study,transcribed_from_manuscript
hirschorn2023normalizing,inproceedings,2023,"Hirschorn, Or and Avidan, Shai",Normalizing flows for human pose anomaly detection,,IEEE/CVF International Conference on Computer Vision,,,13545--13555,,10.1109/ICCV51070.2023.01246,,primary_or_comparative_study,transcribed_from_manuscript
salehi2021multiresolution,inproceedings,2021,"Salehi, Mohammadreza and Sadjadi, Niousha and Baselizadeh, Soroosh and Rohban, Mohammad Hossein and Rabiee, Hamid R",Multiresolution knowledge distillation for anomaly detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,14902--14912,,10.1109/CVPR46437.2021.01466,,primary_or_comparative_study,transcribed_from_manuscript
wang2021student,inproceedings,2021,"Wang, Guodong and Han, Shumin and Ding, Errui and Huang, Di",Student-teacher feature pyramid matching for anomaly detection,,British Machine Vision Conference,,,,,10.5244/C.35.349,,primary_or_comparative_study,transcribed_from_manuscript
feng2021ct,inproceedings,2021,"Feng, Xinyang and Song, Dongjin and Chen, Yuncong and Chen, Zhengzhang and Ni, Jingchao and Chen, Haifeng",Convolutional Transformer based dual discriminator generative adversarial networks for video anomaly detection,,ACM International Conference on Multimedia,,,5546--5554,ACM,10.1145/3474085.3475693,,primary_or_comparative_study,transcribed_from_manuscript
sun2023hierarchical,inproceedings,2023,"Sun, Shengyang and Gong, Xiaojin",Hierarchical semantic contrast for scene-aware video anomaly detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,,,10.1109/CVPR52729.2023.02188,,primary_or_comparative_study,transcribed_from_manuscript
huang2022self,article,2023,"Huang, Chao and Wen, Jie and Xu, Yong and Jiang, Qiuping and Yang, Jian and Wang, Yaowei and Zhang, David",Self-supervised attentive generative adversarial networks for video anomaly detection,IEEE Transactions on Neural Networks and Learning Systems,,34,11,9389--9403,,10.1109/TNNLS.2022.3159538,,primary_or_comparative_study,transcribed_from_manuscript
chen2024tevad,inproceedings,2023,"Chen, Weiling and Ma, Keng Teck and Yew, Zi Jian and Hur, Minhoe and Khoo, David Aik-Aun",{TEVAD}: Improved video anomaly detection with captions,,IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops,,,5549--5559,,10.1109/CVPRW59228.2023.00587,,primary_or_comparative_study,transcribed_from_manuscript
tang2024hawk,inproceedings,2024,"Tang, Jiaqi and Lu, Hao and Wu, Ruizheng and Xu, Xiaogang and Ma, Ke and Fang, Cheng and Guo, Bin and Lu, Jiangbo and Chen, Qifeng and Chen, Ying-Cong",{HAWK}: Learning to understand open-world video anomalies,,Advances in Neural Information Processing Systems,37,,139751--139785,,,,primary_or_comparative_study,transcribed_from_manuscript
yang2024follow,inproceedings,2024,"Yang, Yuchen and Lee, Kwonjoon and Dariush, Behzad and Cao, Yinzhi and Lo, Shao-Yuan",Follow the rules: Reasoning for video anomaly detection with large language models,,Computer Vision -- ECCV 2024,15139,,304--322,Springer,10.1007/978-3-031-73004-7_18,,primary_or_comparative_study,transcribed_from_manuscript
chen2022comprehensive,article,2022,"Chen, Chengwei and Xie, Yuan and Lin, Shaohui and Yao, Angela and Jiang, Guannan and Zhang, Wei and Qu, Yanyun and Qiao, Ruizhi and Ren, Bo and Ma, Lizhuang",Comprehensive regularization in a bi-directional predictive network for video anomaly detection,Proceedings of the AAAI Conference on Artificial Intelligence,,36,1,230--238,,10.1609/aaai.v36i1.19898,,primary_or_comparative_study,transcribed_from_manuscript
wang2024stenet,article,2022,"Hao, Yi and Li, Jie and Wang, Nannan and Wang, Xiaoyu and Gao, Xinbo",Spatiotemporal consistency-enhanced network for video anomaly detection,Pattern Recognition,,121,,108232,,10.1016/j.patcog.2021.108232,,primary_or_comparative_study,transcribed_from_manuscript
redmon2016you,inproceedings,2016,"Redmon, Joseph and Divvala, Santosh and Girshick, Ross and Farhadi, Ali","You only look once: Unified, real-time object detection",,IEEE Conference on Computer Vision and Pattern Recognition,,,779--788,,10.1109/CVPR.2016.91,,primary_or_comparative_study,transcribed_from_manuscript
liu2016ssd,inproceedings,2016,"Liu, Wei and Anguelov, Dragomir and Erhan, Dumitru and Szegedy, Christian and Reed, Scott and Fu, Cheng-Yang and Berg, Alexander C",SSD: Single shot multibox detector,,European Conference on Computer Vision,,,21--37,,10.1007/978-3-319-46448-0_2,,primary_or_comparative_study,transcribed_from_manuscript
ren2015faster,inproceedings,2015,"Ren, Shaoqing and He, Kaiming and Girshick, Ross and Sun, Jian",Faster R-CNN: Towards real-time object detection with region proposal networks,,Advances in Neural Information Processing Systems,,,91--99,,,,primary_or_comparative_study,transcribed_from_manuscript
ronneberger2015unet,inproceedings,2015,"Ronneberger, Olaf and Fischer, Philipp and Brox, Thomas",U-Net: Convolutional networks for biomedical image segmentation,,International Conference on Medical Image Computing and Computer-Assisted Intervention,,,234--241,,10.1007/978-3-319-24574-4_28,,primary_or_comparative_study,transcribed_from_manuscript
chen2018encoder,inproceedings,2018,"Chen, Liang-Chieh and Zhu, Yukun and Papandreou, George and Schroff, Florian and Adam, Hartwig",Encoder-decoder with atrous separable convolution for semantic image segmentation,,European Conference on Computer Vision,,,801--818,,10.1007/978-3-030-01234-2_49,,primary_or_comparative_study,transcribed_from_manuscript
he2017mask,inproceedings,2017,"He, Kaiming and Gkioxari, Georgia and Doll{\'a}r, Piotr and Girshick, Ross",Mask R-CNN,,IEEE International Conference on Computer Vision,,,2961--2969,,10.1109/ICCV.2017.322,,primary_or_comparative_study,transcribed_from_manuscript
niu2023improved,article,2023,"Niu, Kai and Wang, Chuanjun and Xu, Jiaming and Yang, Cong and Zhou, Xiaojun and Yang, Xin",An improved YOLOv5-based infrared UAV fire detection method,Remote Sensing,,15,19,4694,,10.3390/rs15194694,,primary_or_comparative_study,transcribed_from_manuscript
park2024wildfire,article,2024,"Park, Ganghyun and Lee, Yangwon",Wildfire smoke detection enhanced by image augmentation with StyleGAN2-ADA for YOLOv8 and RT-DETR,Fire,,7,10,369,,10.3390/fire7100369,,primary_or_comparative_study,transcribed_from_manuscript
gao2024twostage,article,2024,"Gao, Shenyuan and Huang, Guozhong and Chen, Xiaolong and Jiang, Huiling and Zhou, Liang and Gao, Xuehong",Two-stage deep learning-based video image recognition of early fires in heritage buildings,Engineering Applications of Artificial Intelligence,,129,,107598,Elsevier,10.1016/j.engappai.2023.107598,,primary_or_comparative_study,transcribed_from_manuscript
guan2022improved,article,2022,"Guan, Zhihao and Miao, Xinyu and Mu, Yunjie and Sun, Quan and Ye, Qiaolin and Gao, Demin",Forest fire segmentation from aerial imagery data using an improved instance segmentation model,Remote Sensing,,14,13,3159,,10.3390/rs14133159,,primary_or_comparative_study,transcribed_from_manuscript
ribnick2006realtime,inproceedings,2006,"Ribnick, Evan and Atev, Stefan and Masoud, Osama and Papanikolopoulos, Nikolaos and Voyles, Richard",Real-time detection of camera tampering,,IEEE International Conference on Video and Signal Based Surveillance (AVSS),,,10--15,,10.1109/AVSS.2006.94,,primary_or_comparative_study,transcribed_from_manuscript
mahadevan2010anomaly,inproceedings,2010,"Mahadevan, Vijay and Li, Weixin and Bhatt, Viral and Vasconcelos, Nuno",Anomaly detection in crowded scenes,,IEEE Conference on Computer Vision and Pattern Recognition,,,1975--1981,,10.1109/CVPR.2010.5539872,,primary_or_comparative_study,transcribed_from_manuscript
lu2013abnormal,inproceedings,2013,"Lu, Cewu and Shi, Jianping and Jia, Jiaya",Abnormal event detection at 150 FPS in MATLAB,,IEEE International Conference on Computer Vision,,,2720--2727,,10.1109/ICCV.2013.338,,primary_or_comparative_study,transcribed_from_manuscript
luo2017revisit,inproceedings,2017,"Luo, Weixin and Liu, Wen and Gao, Shenghua",A revisit of sparse coding based anomaly detection in stacked RNN framework,,IEEE International Conference on Computer Vision,,,341--349,,10.1109/ICCV.2017.45,,primary_or_comparative_study,transcribed_from_manuscript
mehran2009abnormal,inproceedings,2009,"Mehran, Ramin and Oyama, Alexis and Shah, Mubarak",Abnormal crowd behavior detection using social force model,,IEEE Conference on Computer Vision and Pattern Recognition,,,935--942,,10.1109/CVPR.2009.5206641,,primary_or_comparative_study,transcribed_from_manuscript
ramachandra2020street,inproceedings,2020,"Ramachandra, Bharathkumar and Jones, Michael",Street scene: A new dataset and evaluation protocol for video anomaly detection,,IEEE/CVF Winter Conference on Applications of Computer Vision,,,2569--2578,,10.1109/WACV45572.2020.9093457,,dataset_or_benchmark,transcribed_from_manuscript
acsintoae2022ubnormal,inproceedings,2022,"Acsintoae, Andra and Florescu, Andrei and Georgescu, Mariana-Iuliana and Mare, Tudor and Sumedrea, Paul and Ionescu, Radu Tudor and Khan, Fahad Shahbaz and Shah, Mubarak",UBnormal: New benchmark for supervised open-set video anomaly detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,20143--20153,,10.1109/CVPR52688.2022.01951,,dataset_or_benchmark,transcribed_from_manuscript
doshi2022adoc,inproceedings,2020,"Mantini, Pranav and Li, Zhenggang and Shah, Shishir K.",A day on campus: An anomaly detection dataset for events in a single camera,,Computer Vision -- ACCV 2020,12627,,619--635,Springer,10.1007/978-3-030-69544-6_37,,dataset_or_benchmark,transcribed_from_manuscript
pazho2023chad,inproceedings,2023,"Danesh Pazho, Armin and Alinezhad Noghre, Ghazal and Rahimi Ardabili, Babak and Neff, Christopher and Tabkhi, Hamed",CHAD: Charlotte anomaly dataset,,Scandinavian Conference on Image Analysis,,,50--66,,10.1007/978-3-031-31435-3_4,,dataset_or_benchmark,transcribed_from_manuscript
cao2023nwpu,inproceedings,2023,"Cao, Congqi and Lu, Yue and Wang, Peng and Zhang, Yanning",A new comprehensive benchmark for semi-supervised video anomaly detection and anticipation,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,20392--20401,,10.1109/CVPR52729.2023.01953,,dataset_or_benchmark,transcribed_from_manuscript
shamsoshoara2021aerial,article,2021,"Shamsoshoara, Alireza and Afghah, Fatemeh and Razi, Abolfazl and Zheng, Liming and Ful{\'e}, Peter Z and Blasch, Erik",Aerial imagery pile burn detection using deep learning: The FLAME dataset,Computer Networks,,193,,108001,,10.1016/j.comnet.2021.108001,,dataset_or_benchmark,transcribed_from_manuscript
jadon2019firenet,article,2019,"Jadon, Arpit and Omama, Mohd and Varshney, Akshay and Ansari, Mohammad Samar and Sharma, Rishabh",{FireNet}: A specialized lightweight fire and smoke detection model for real-time IoT applications,arXiv preprint arXiv:1905.11922,,,,,,10.48550/arXiv.1905.11922,,primary_or_comparative_study,transcribed_from_manuscript
wang2024fasdd,article,2024,"Wang, Ming and Yue, Peng and Jiang, Liangcun and Yu, Dayu and Tuo, Tianyu and Li, Jianbo",An open flame and smoke detection dataset for deep learning in remote sensing based fire detection,Geo-spatial Information Science,,28,2,511--526,,10.1080/10095020.2024.2347922,,dataset_or_benchmark,transcribed_from_manuscript
de2022dfire,article,2022,"de Ven{\^a}ncio, Pedro V{\'i}nicius A. B. and Lisboa, Adriano C. and Barbosa, Adriano V.","An automatic fire detection system based on deep convolutional neural networks for low-power, resource-constrained devices",Neural Computing and Applications,,34,18,15349--15368,Springer,10.1007/s00521-022-07467-z,,primary_or_comparative_study,transcribed_from_manuscript
foggia2015fire,article,2015,"Foggia, Pasquale and Saggese, Alessia and Vento, Mario","Real-time fire detection for video surveillance applications using a combination of experts based on color, shape, and motion",IEEE Transactions on Circuits and Systems for Video Technology,,25,9,1545--1556,,10.1109/TCSVT.2015.2392531,,primary_or_comparative_study,transcribed_from_manuscript
chino2015bowfire,inproceedings,2015,"Chino, Daniel YT and Avalhais, Letricia PS and Rodrigues Jr, Jose F and Traina, Agma JM",BoWFire: Detection of fire in still images by integrating pixel color and texture analysis,,Brazilian Symposium on Computer Graphics and Image Processing,,,,,10.1109/SIBGRAPI.2015.19,,primary_or_comparative_study,transcribed_from_manuscript
lin2014microsoft,inproceedings,2014,"Lin, Tsung-Yi and Maire, Michael and Belongie, Serge and Hays, James and Perona, Pietro and Ramanan, Deva and Doll{\'a}r, Piotr and Zitnick, C Lawrence",Microsoft COCO: Common objects in context,,European Conference on Computer Vision,,,740--755,,10.1007/978-3-319-10602-1_48,,primary_or_comparative_study,transcribed_from_manuscript
