citation_key,entry_type,year,author,title,journal,booktitle,volume,number,pages,publisher,doi,url,role_in_review,verification_status
zhang2026finevad,inproceedings,2026,"Zhang, Menghao and Zhu, Yiyan and Ren, Pengfei and Sun, Haifeng and Qi, Qi and Zhuang, Zirui and Wang, Huazheng and Zhang, Lei and Liao, Jianxin and Wang, Jingyu",Fine-{VAD}: Towards Fine-Grained Video Anomaly Detection via Progressive Cross-Granularity Learning,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,35514--35523,,,,primary_or_comparative_study,transcribed_from_manuscript
xu2026tlma,inproceedings,2026,"Xu, Rong and Wang, Runqi and Zhang, Yingjun and Tao, Tao and Li, Xiaomeng and Jing, Liping",{TLMA}: Mitigating the Impact of Weakly Labeled Information for Video Anomaly Detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,35597--35606,,,,primary_or_comparative_study,transcribed_from_manuscript
zhao2026denoising,inproceedings,2026,"Zhao, Yaxin and Wang, Yang and Guo, Wenya and Xu, Sihan and Cai, Xiangrui and Lin, Xi and Zhang, Ying and Yuan, Xiaojie",Learning from Noisy Supervision: A Denoising-Debiasing Framework for Weakly Supervised Video Anomaly Detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,21326--21335,,,,methods_or_reporting,transcribed_from_manuscript
sun2026memoryexperts,inproceedings,2026,"Sun, Bo and Chen, Junxi and Wu, Zhe and Gao, Feng and Yang, Fan and Su, Li and Wang, Yaowei",Joint Learning of General and Diverse Patterns with Mixture of Memory Experts for Weakly-Supervised Video Anomaly Detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,35638--35647,,,,primary_or_comparative_study,transcribed_from_manuscript
acharya2026road,inproceedings,2026,"Acharya, Anusha and Sapkota, Hitesh and Yu, Qi and Liu, Xumin",The Road Less Seen: Segment Exploration for Weakly Supervised Video Anomaly Detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition,,,14147--14156,,,,primary_or_comparative_study,transcribed_from_manuscript
rashvand2026frames,inproceedings,2026,"Rashvand, Narges and Yao, Shanle and Pazho, Armin Danesh and Ardabili, Babak Rahimi and Tabkhi, Hamed",From Frames to Events: Rethinking Evaluation in Human-Centric Video Anomaly Detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops,,,5389--5398,,,,primary_or_comparative_study,transcribed_from_manuscript
cheng2026vader,inproceedings,2026,"Cheng, Ying and Lin, Yu-Ho and Chen, Min-Hung and Yang, Fu-En and Lai, Shang-Hong",{VADER}: Towards Causal Video Anomaly Understanding with Relation-Aware Large Language Models,,IEEE/CVF Winter Conference on Applications of Computer Vision,,,7301--7311,,,,primary_or_comparative_study,transcribed_from_manuscript
hashimoto2026cade,inproceedings,2026,"Hashimoto, Satoshi and Konishi, Tatsuya and Kaichi, Tomoya and Matsumoto, Kazunori and Kurokawa, Mori",{CADE}: Continual Weakly-Supervised Video Anomaly Detection with Ensembles,,IEEE/CVF Winter Conference on Applications of Computer Vision,,,708--717,,,,primary_or_comparative_study,transcribed_from_manuscript
erregue2026prismvau,inproceedings,2026,"Erregue, I{\~n}aki and Nasrollahi, Kamal and Escalera, Sergio",{PrismVAU}: Prompt-Refined Inference System for Multimodal Video Anomaly Understanding,,IEEE/CVF Winter Conference on Applications of Computer Vision Workshops,,,55--65,,,,primary_or_comparative_study,transcribed_from_manuscript
zheng2026lco,inproceedings,2026,"Zheng, Hantao and Han, Ning and Zeng, Yawen and Zhu, Hegui and Chen, Hao",Logical Consistency Optimization for Few-Shot Weakly Supervised Video Anomaly Detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition (Findings),,,9045--9054,,,,primary_or_comparative_study,transcribed_from_manuscript
chu2026reba,inproceedings,2026,"Chu, Chengxi and Japar, Nurul and Lim, Chee Kau",{REBA}: Residual Mixture-of-Experts and Bidirectional Video-Text Alignment for Better Fine-Grained Weakly Supervised Video Anomaly Detection,,IEEE/CVF Conference on Computer Vision and Pattern Recognition (Findings),,,8280--8290,,,,primary_or_comparative_study,transcribed_from_manuscript
gu2026tvau,inproceedings,2026,,Text-Guided Fine-Grained Video Anomaly Understanding,,IEEE/CVF Conference on Computer Vision and Pattern Recognition Workshops,,,1251--1261,,,,primary_or_comparative_study,transcribed_from_manuscript
eu2024aiact,misc,2024,{European Parliament and Council of the European Union},Regulation (EU) 2024/1689 of 13 June 2024 Laying Down Harmonised Rules on Artificial Intelligence (Artificial Intelligence Act),,,,,,,,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,background_or_other,transcribed_from_manuscript
cazzolato2017fismo,inproceedings,2017,"Cazzolato, Mirela T. and Avalhais, Letricia P. S. and Chino, Daniel Y. T. and Ramos, Jonathan S. and de Souza, Jessica A. and Rodrigues-Jr, Jose F. and Traina, Agma J. M.",{FiSmo}: A compilation of datasets from emergency situations for fire and smoke analysis,,Proceedings of Satellite Events of the 32nd Brazilian Symposium on Databases (SBBD) -- Dataset Showcase Workshop,,,213--223,SBC,,,dataset_or_benchmark,transcribed_from_manuscript
chandrakala2023thematic,article,2023,"Chandrakala, S. and Deepak, K. and Revathy, G.","Anomaly detection in surveillance videos: A thematic taxonomy of deep models, review and performance analysis",Artificial Intelligence Review,,56,4,3319--3368,Springer,10.1007/s10462-022-10258-6,,positioning_review,transcribed_from_manuscript
page2021prisma,article,2021,"Page, Matthew J and McKenzie, Joanne E and Bossuyt, Patrick M and Boutron, Isabelle and Hoffmann, Tammy C and Mulrow, Cynthia D and Shamseer, Larissa and Tetzlaff, Jennifer M and Akl, Elie A and Brennan, Sue E and others",The {PRISMA} 2020 statement: an updated guideline for reporting systematic reviews,BMJ,,372,,n71,,10.1136/bmj.n71,,reporting_standard,transcribed_from_manuscript
campbell2020swim,article,2020,"Campbell, Mhairi and McKenzie, Joanne E and Sowden, Amanda and Katikireddi, Srinivasa Vittal and Brennan, Sue E and Ellis, Simon and Hartmann-Boyce, Jamie and Ryan, Rebecca and Shepperd, Sasha and Thomas, James and Welch, Vivian and Thomson, Hilary",Synthesis without meta-analysis ({SWiM}) in systematic reviews: reporting guideline,BMJ,,368,,l6890,,10.1136/bmj.l6890,,reporting_standard,transcribed_from_manuscript
kitchenham2007guidelines,techreport,2007,"Kitchenham, Barbara and Charters, Stuart",Guidelines for performing systematic literature reviews in software engineering,,,,EBSE-2007-01,,,,,positioning_review,transcribed_from_manuscript
kitchenham2009systematic,article,2009,"Kitchenham, Barbara and Brereton, O Pearl and Budgen, David and Turner, Mark and Bailey, John and Linkman, Stephen",Systematic literature reviews in software engineering---a systematic literature review,Information and Software Technology,,51,1,7--15,,10.1016/j.infsof.2008.09.009,,positioning_review,transcribed_from_manuscript
heldens2022litstudy,article,2022,"Heldens, Stijn and Sclocco, Alessio and Dreuning, Hanno and van Werkhoven, Ben and Hijma, Pieter and Maassen, Jason and van Nieuwpoort, Rob V.",litstudy: A Python package for literature reviews,SoftwareX,,20,,101207,,10.1016/j.softx.2022.101207,https://doi.org/10.1016/j.softx.2022.101207,review_software,transcribed_from_manuscript
byrt1993bias,article,1993,"Byrt, Ted and Bishop, Janet and Carlin, John B","Bias, prevalence and kappa",Journal of Clinical Epidemiology,,46,5,423--429,,10.1016/0895-4356(93)90018-V,,methods_or_reporting,transcribed_from_manuscript
gwet2008ac1,article,2008,"Gwet, Kilem Li",Computing inter-rater reliability and its variance in the presence of high agreement,British Journal of Mathematical and Statistical Psychology,,61,1,29--48,,10.1348/000711006X126600,,methods_or_reporting,transcribed_from_manuscript
landis1977measurement,article,1977,"Landis, J Richard and Koch, Gary G",The measurement of observer agreement for categorical data,Biometrics,,33,1,159--174,,10.2307/2529310,,methods_or_reporting,transcribed_from_manuscript
boolzen2026evidence,article,2026,"Boolzen, Chiara and Kuhn, Jochen and Flegr, Salome and Rott, Eva-Maria and Stausberg, Niklas and K{\""u}chemann, Stefan",Evidence of impact and interpretational limits of generative {AI} in {STEM} education: a systematic review and meta-analysis on cognitive learning outcomes,Artificial Intelligence Review,,,,,Springer,10.1007/s10462-026-11665-9,,positioning_review,transcribed_from_manuscript
