method,year,citation_key,training_regime,ped2_auc,avenue_auc,shtech_auc,ucf_crime_auc,xd_violence_ap,representation,scoring_mechanism,manuscript_table,canonical_for_s4
CT-D2GAN,2021,feng2021ct,Normal-only,97.2,85.9,77.7,,,CNN + Transformer hybrid,Prediction,tab:transformer_methods,no
TEVAD,2023,chen2024tevad,Video-level weak supervision,,,,84.9,,Caption-augmented MIL,MIL + language,tab:transformer_methods,no
SGTTD,2024,wu2022self,Video-level weak supervision,,,97.3,85.1,,Self-guided temporal transformer,Weak temporal discrimination,tab:transformer_methods,no
